관리번호,기준연도,읍면동,읍면동코드,리,지목,경작연도,경작면적,실제면적
2056,2022,부리면,45500340000,창평리,구,2020,377,8588.48
2312,2022,남일면,45500360000,신정리,답,2022,329,329.97
2568,2022,남이면,45500370000,상금리,전,2022,237,372.74
2824,2022,남이면,45500370000,역평리,천,2022,64,18281.87
3080,2022,금성면,45500320000,상가리,답,2022,1964,1964.49
3336,2022,금성면,45500320000,하류리,임,2022,654,856.31
3592,2022,남이면,45500370000,흑암리,대,2020,1545,1545.34
3848,2022,남일면,45500360000,초현리,답,2021,9199,9199.94
4104,2022,군북면,45500350000,내부리,답,2022,1258,1258.76
4360,2022,금산읍,45500310000,음지리,전,2020,736,736.85
4616,2022,금성면,45500320000,양전리,답,2018,2022,2022.52
4872,2022,금성면,45500320000,의총리,답,2018,1705,1705.66
5128,2022,군북면,45500350000,외부리,전,2017,1292,1510.59
5384,2022,남일면,45500360000,덕천리,구,2016,1121,1121.07
5640,2022,금산읍,45500310000,신대리,답,2017,769,769.66
5896,2022,군북면,45500350000,동편리,답,2018,232,232.66
6152,2022,제원면,45500330000,대산리,답,2020,2932,2932.86
6408,2022,부리면,45500340000,선원리,전,2018,2701,3029.89
6664,2022,제원면,45500330000,수당리,답,2020,1624,1624.35
6920,2022,부리면,45500340000,창평리,답,2020,2988,2988.8
7176,2022,금산읍,45500310000,하옥리,전,2020,582,621.71
7432,2022,부리면,45500340000,신촌리,답,2020,1401,1401.75
7688,2022,부리면,45500340000,수통리,전,2018,852,1119.33
7944,2022,군북면,45500350000,외부리,답,2020,925,925.07
8200,2022,남이면,45500370000,하금리,전,2019,2746,3060.64
8456,2022,남이면,45500370000,매곡리,답,2020,1622,1622.96
8712,2022,부리면,45500340000,어재리,답,2019,1277,1277.53
8968,2022,남일면,45500360000,신정리,답,2020,3147,3147.27
9224,2022,진산면,45500380000,만악리,도,2019,105,3036.96
9480,2022,금산읍,45500310000,음지리,전,2020,10,1067.61
9736,2022,남일면,45500360000,신천리,임,2020,957,13505.0
9,2022,추부면,45500400000,서대리,도,2022,61,181.17
265,2022,진산면,45500380000,막현리,답,2020,1599,1600.0
521,2022,제원면,45500330000,제원리,답,2022,2833,2833.87
777,2022,제원면,45500330000,저곡리,답,2022,529,529.1
1033,2022,부리면,45500340000,평촌리,임,2022,411,45767.75
1289,2022,부리면,45500340000,양곡리,답,2022,1031,1031.47
1545,2022,군북면,45500350000,외부리,답,2020,3407,3407.78
1801,2022,남일면,45500360000,황풍리,전,2022,80,80.9
2057,2022,부리면,45500340000,창평리,대,2020,93,6369.85
2313,2022,남일면,45500360000,신정리,답,2022,1077,1077.96
2569,2022,남이면,45500370000,건천리,답,2022,37,37.8
2825,2022,남이면,45500370000,성곡리,도,2020,158,2811.99
3081,2022,금성면,45500320000,상가리,답,2022,1034,1034.14
3337,2022,남일면,45500360000,마장리,답,2020,3035,3035.89
3593,2022,금산읍,45500310000,양지리,전,2022,157,252.87
3849,2022,남일면,45500360000,초현리,임,2021,311,876.64
4105,2022,군북면,45500350000,내부리,답,2022,1364,1364.38
4361,2022,금산읍,45500310000,음지리,답,2019,2346,2346.97
4617,2022,추부면,45500400000,용지리,답,2018,456,602.87
4873,2022,금성면,45500320000,의총리,답,2018,2263,2263.1
5129,2022,군북면,45500350000,외부리,전,2017,1359,1682.1
5385,2022,남일면,45500360000,덕천리,답,2018,1747,1747.01
5641,2022,금성면,45500320000,두곡리,대,2018,450,450.38
5897,2022,군북면,45500350000,동편리,답,2018,647,647.88
6153,2022,군북면,45500350000,두두리,임,2022,262,262.64
6409,2022,제원면,45500330000,명암리,답,2019,2093,3318.54
6665,2022,제원면,45500330000,수당리,전,2020,463,682.08
6921,2022,부리면,45500340000,창평리,답,2020,2519,2519.04
7177,2022,금산읍,45500310000,신대리,답,2020,1047,1047.4
7433,2022,군북면,45500350000,호티리,답,2020,1623,1623.16
7689,2022,부리면,45500340000,수통리,전,2016,552,611.76
7945,2022,군북면,45500350000,외부리,전,2020,2088,2489.79
8201,2022,남이면,45500370000,상금리,전,2018,1811,2169.78
8457,2022,남이면,45500370000,매곡리,답,2020,1999,2277.97
8713,2022,부리면,45500340000,어재리,전,2019,959,959.96
8969,2022,남일면,45500360000,신정리,답,2020,2363,2363.49
9225,2022,금성면,45500320000,화림리,임,2020,465,36488.91
9481,2022,금산읍,45500310000,음지리,전,2020,43,1141.09
9737,2022,남이면,45500370000,구석리,임,2020,361,6695.43
10,2022,추부면,45500400000,서대리,답,2022,1034,1034.47
266,2022,진산면,45500380000,막현리,전,2020,756,756.96
522,2022,제원면,45500330000,명암리,답,2022,560,560.82
778,2022,제원면,45500330000,저곡리,답,2022,2658,2658.49
1034,2022,부리면,45500340000,평촌리,전,2022,1183,1460.89
1290,2022,부리면,45500340000,양곡리,답,2022,1566,1566.26
1546,2022,군북면,45500350000,외부리,답,2020,1492,1492.37
1802,2022,남일면,45500360000,마장리,잡,2022,196,196.55
2058,2022,부리면,45500340000,창평리,대,2020,66,6369.85
2314,2022,제원면,45500330000,금성리,구,2020,316,7013.48
2570,2022,남이면,45500370000,건천리,답,2022,276,2739.32
2826,2022,남이면,45500370000,성곡리,전,2020,71,481.68
3082,2022,금성면,45500320000,상가리,답,2022,1160,1160.51
3338,2022,금성면,45500320000,하류리,전,2022,1000,1026.67
3594,2022,금산읍,45500310000,양지리,임,2022,68,24969.38
3850,2022,남일면,45500360000,초현리,전,2021,91,843.7
4106,2022,군북면,45500350000,내부리,답,2022,2461,2461.81
4362,2022,금산읍,45500310000,음지리,답,2020,436,436.02
4618,2022,제원면,45500330000,저곡리,답,2018,921,921.92
4874,2022,금성면,45500320000,의총리,답,2018,1678,1678.02
5130,2022,군북면,45500350000,외부리,임,2017,721,24473.9
5386,2022,남일면,45500360000,덕천리,답,2018,1523,1523.47
5642,2022,남이면,45500370000,흑암리,답,2017,2590,2590.86
5898,2022,군북면,45500350000,동편리,답,2018,584,584.56
6154,2022,제원면,45500330000,대산리,답,2020,615,615.71
6410,2022,제원면,45500330000,수당리,전,2020,682,744.0
6666,2022,제원면,45500330000,수당리,전,2020,2086,2086.75
6922,2022,부리면,45500340000,창평리,답,2020,1203,1203.84
7178,2022,금산읍,45500310000,신대리,답,2020,711,711.28
7434,2022,군북면,45500350000,호티리,답,2020,1281,1281.73
7690,2022,부리면,45500340000,현내리,답,2020,1873,1873.92
7946,2022,군북면,45500350000,외부리,답,2020,1301,1301.46
8202,2022,남이면,45500370000,상금리,답,2019,2769,2769.98
8458,2022,남이면,45500370000,매곡리,답,2020,1086,1415.0
8714,2022,부리면,45500340000,어재리,전,2020,1351,1351.96
8970,2022,남일면,45500360000,신정리,답,2020,605,605.02
9226,2022,금성면,45500320000,화림리,임,2020,440,2392.52
9482,2022,금산읍,45500310000,음지리,전,2020,496,1342.81
9738,2022,남이면,45500370000,구석리,임,2020,614,13339.1
11,2022,추부면,45500400000,서대리,답,2022,2710,2710.6
267,2022,진산면,45500380000,막현리,답,2020,387,387.02
523,2022,제원면,45500330000,명암리,답,2022,1846,1846.71
779,2022,제원면,45500330000,저곡리,답,2022,615,615.2
1035,2022,부리면,45500340000,선원리,답,2022,2470,2470.74
1291,2022,부리면,45500340000,양곡리,답,2022,2008,2008.87
1547,2022,군북면,45500350000,내부리,전,2020,364,18356.19
1803,2022,남일면,45500360000,황풍리,잡,2022,201,201.44
2059,2022,부리면,45500340000,창평리,대,2020,42,6369.85
2315,2022,제원면,45500330000,금성리,답,2020,48,321.48
2571,2022,제원면,45500330000,용화리,도,2020,603,1690.55
2827,2022,남이면,45500370000,성곡리,전,2020,64,481.68
3083,2022,금성면,45500320000,상가리,답,2022,1638,1638.55
3339,2022,금성면,45500320000,하류리,전,2022,1864,1864.2
3595,2022,금산읍,45500310000,양지리,답,2022,136,1528.51
3851,2022,금산읍,45500310000,상옥리,전,2022,1594,1594.4
4107,2022,군북면,45500350000,내부리,답,2022,1944,1944.33
4363,2022,금산읍,45500310000,음지리,답,2019,835,835.24
4619,2022,제원면,45500330000,저곡리,답,2018,647,647.76
4875,2022,금성면,45500320000,의총리,답,2017,949,1185.64
5131,2022,군북면,45500350000,외부리,답,2017,1526,1526.69
5387,2022,남일면,45500360000,덕천리,답,2018,728,728.96
5643,2022,금성면,45500320000,도곡리,전,2017,710,996.65
5899,2022,군북면,45500350000,동편리,답,2018,669,669.36
6155,2022,제원면,45500330000,저곡리,과,2020,3934,3934.36
6411,2022,제원면,45500330000,수당리,답,2019,432,432.64
6667,2022,제원면,45500330000,수당리,답,2020,1270,1399.89
6923,2022,부리면,45500340000,창평리,답,2020,3031,3031.24
7179,2022,제원면,45500330000,명곡리,과,2020,2267,2267.06
7435,2022,군북면,45500350000,호티리,전,2020,196,196.69
7691,2022,부리면,45500340000,현내리,답,2018,2461,2724.68
7947,2022,군북면,45500350000,외부리,답,2020,1482,1589.46
8203,2022,남이면,45500370000,상금리,답,2018,1947,1947.74
8459,2022,남이면,45500370000,매곡리,답,2020,2038,2562.01
8715,2022,부리면,45500340000,현내리,답,2018,2100,2100.52
8971,2022,남일면,45500360000,신정리,임,2020,678,678.03
9227,2022,금성면,45500320000,화림리,임,2020,147,2191.55
9483,2022,금산읍,45500310000,음지리,전,2020,319,1170.8
9739,2022,남일면,45500360000,신천리,답,2020,843,2830.92
12,2022,추부면,45500400000,서대리,답,2022,1132,1132.65
268,2022,진산면,45500380000,석막리,전,2022,1871,5997.86
524,2022,제원면,45500330000,명암리,답,2022,250,250.89
780,2022,제원면,45500330000,저곡리,답,2022,1610,1610.62
1036,2022,부리면,45500340000,선원리,답,2022,1247,1247.11
1292,2022,부리면,45500340000,양곡리,전,2022,819,819.31
1548,2022,군북면,45500350000,내부리,구,2020,310,17560.29
1804,2022,남일면,45500360000,황풍리,전,2022,1592,1592.88
2060,2022,부리면,45500340000,창평리,답,2020,22,56.4
